"2","788","1585","875","1652"
"2","993","1439","1096","1518"
"2","1064","631","1163","682"
"80","1175","1483","1242","1569"
"40","1313","729","1376","816"
"10","1313","2493","1384","2575"
":","1589","1443","1683","1510"
"2","1648","646","1715","698"
"0","1703","1968","1758","2015"
":","1920","1443","2015","1518"
"50","2169","682","2236","769"
"120","2173","1471","2236","1585"
"30","2173","2193","2236","2280"
